frame(1 sec = 60 frames), PosX, PosY, VelocityVector
767,33812.637,5037.3193,(30.458374;136.64017)
768,33842.79,4900.2256,(30.15379;137.09378)
769,33872.64,4762.6826,(29.852251;137.54285)
770,33902.195,4624.6953,(29.553728;137.98743)
771,33931.453,4486.2676,(29.25819;138.42757)
772,33960.418,4347.4043,(28.965609;138.8633)
773,33989.094,4208.11,(28.675953;139.29468)
774,34017.484,4068.3882,(28.389193;139.72174)
775,34045.59,3928.2437,(28.1053;140.14453)
776,34073.414,3787.6807,(27.824247;140.5631)
777,34100.96,3646.7031,(27.546005;140.97748)
778,34128.23,3505.3154,(27.270546;141.38771)
779,34155.227,3363.5215,(26.99784;141.79384)
780,34181.953,3221.3257,(26.727863;142.1959)
781,34208.414,3078.7317,(26.460585;142.59395)
782,34234.61,2935.7437,(26.195978;142.98802)
783,34260.543,2792.3655,(25.93402;143.37814)
784,34286.22,2648.601,(25.674679;143.76437)
785,34311.637,2504.4543,(25.417933;144.14674)
786,34336.8,2359.9292,(25.163754;144.52528)
787,34361.715,2215.029,(24.912115;144.90004)
788,34386.38,2069.758,(24.662994;145.27104)
789,34410.797,1924.1198,(24.416365;145.63834)
790,34434.97,1778.1178,(24.172201;146.00195)
791,34458.9,1631.7559,(23.93048;146.36194)
792,34482.59,1485.0376,(23.691174;146.71832)
793,34506.043,1337.9663,(23.454262;147.07115)
794,34529.26,1190.5459,(23.219719;147.42044)
795,34552.25,1042.7797,(22.987522;147.76625)
796,34575.008,894.6711,(22.757647;148.1086)
797,34597.54,746.2236,(22.53007;148.44753)
798,34619.844,597.4405,(22.30477;148.78305)
799,34641.926,448.32526,(22.081722;149.11523)
800,34663.785,298.88116,(21.860905;149.44409)
801,34685.426,149.11151,(21.642296;149.76965)
